Year,Element,Area,Vegetables,Fruits,Grains/Legumes/Nuts/Seeds,Meat/Poultry,Fish/Seafood,Dairy Food Group,Eggs,Vegetal Products,Sugar,Country,Obesity,Undernourished,Population,latlng,region,subregion,ISO_A2,Life expectancy,GDP
Y2014,Food supply quantity (kg/capita/yr),Argentina,64.91,135.43,130.55,103.47,5.88,381.22,25.06,461.66999999999985,47.97,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2014,Protein supply quantity (g/capita/day),Argentina,2.06,17.020000000000003,28.08,42.5,1.77,29.02,6.82,36.550000000000026,0.01,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2015,Fat supply quantity (g/capita/day),Argentina,0.42,22.21,3.37,44.95,0.42,33.8,7.0,45.41,0.0,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2015,Food supply (kcal/capita/day),Argentina,55.0,363.0,1099.0,610.0,14.0,514.0,106.0,2265.0,459.0,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2015,Food supply quantity (kg/capita/yr),Argentina,66.3,145.42000000000004,132.04999999999998,108.93999999999998,7.210000000000001,393.56,29.52,468.7899999999999,47.35,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2015,Protein supply quantity (g/capita/day),Argentina,2.13,18.72,28.34,44.3,2.1299999999999994,29.98,8.04,37.02000000000002,0.01,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2016,Fat supply quantity (g/capita/day),Argentina,0.44,22.04000000000001,3.3100000000000005,44.58000000000001,0.3800000000000001,31.52,7.32,47.01,0.0,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2016,Food supply (kcal/capita/day),Argentina,54.0,361.0,1062.0,605.0,11.0,478.0,110.0,2228.0,447.0,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2016,Food supply quantity (kg/capita/yr),Argentina,66.03,143.95,127.38,108.18000000000002,6.06,362.44,30.8,461.79,46.11,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2016,Protein supply quantity (g/capita/day),Argentina,2.1100000000000003,18.62,27.45,44.0,1.77,27.66,8.4,36.10999999999999,0.01,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
