Year,Element,Area,Vegetables,Fruits,Grains/Legumes/Nuts/Seeds,Meat/Poultry,Fish/Seafood,Dairy Food Group,Eggs,Vegetal Products,Sugar,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Y2016,Food supply (kcal/capita/day),Kazakhstan,119.0,287.0,899.0,317.0,8.0,888.0,66.0,2260.0,292.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2016,Food supply quantity (kg/capita/yr),Kazakhstan,194.31,104.86000000000001,116.57000000000001,62.78,4.5600000000000005,536.52,17.2,589.14,30.05,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2016,Protein supply quantity (g/capita/day),Kazakhstan,4.34,14.82,25.48,22.91,1.27,48.58,5.04,38.68,0.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2017,Fat supply quantity (g/capita/day),Kazakhstan,0.9000000000000001,13.91,6.460000000000001,24.9,0.33,48.92,4.62,68.49,0.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2017,Food supply (kcal/capita/day),Kazakhstan,119.0,285.0,961.0,325.0,8.0,892.0,66.0,2303.0,264.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2017,Food supply quantity (kg/capita/yr),Kazakhstan,191.92000000000002,101.53,124.03999999999999,64.87,4.51,540.06,17.24,585.5299999999997,27.380000000000003,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2017,Protein supply quantity (g/capita/day),Kazakhstan,4.41,15.09,27.280000000000005,23.71,1.26,48.88,5.06,40.26000000000001,0.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2014,Fat supply quantity (g/capita/day),Kenya,0.28,2.9899999999999998,9.85,5.16,0.26,15.94,0.6,26.230000000000004,0.0,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2014,Food supply (kcal/capita/day),Kenya,38.0,116.0,1158.0,70.0,8.0,284.0,8.0,1907.0,156.0,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2014,Food supply quantity (kg/capita/yr),Kenya,49.13,69.47,142.33,13.799999999999999,4.06,164.08,2.58,386.21,17.17,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2014,Protein supply quantity (g/capita/day),Kenya,1.79,3.1499999999999995,30.579999999999995,5.460000000000001,1.1400000000000001,13.46,0.74,47.349999999999994,0.01,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2015,Fat supply quantity (g/capita/day),Kenya,0.22000000000000003,2.65,9.86,5.640000000000001,0.26,15.68,0.62,26.860000000000007,0.0,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2015,Food supply (kcal/capita/day),Kenya,30.0,106.0,1171.0,76.0,7.0,280.0,10.0,1921.0,153.0,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2015,Food supply quantity (kg/capita/yr),Kenya,46.050000000000004,64.46000000000001,142.4,14.75,3.9000000000000004,163.6,2.74,381.30000000000007,16.650000000000002,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2015,Protein supply quantity (g/capita/day),Kenya,1.45,3.0000000000000004,30.860000000000003,5.82,1.1,13.36,0.78,47.82,0.01,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2016,Fat supply quantity (g/capita/day),Kenya,0.21000000000000002,2.5,9.69,5.54,0.26,17.34,0.66,26.810000000000006,0.0,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2016,Food supply (kcal/capita/day),Kenya,30.0,97.0,1140.0,75.0,7.0,310.0,10.0,1855.0,143.0,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2016,Food supply quantity (kg/capita/yr),Kenya,45.9,58.059999999999995,140.29,14.879999999999999,4.09,179.1,2.88,365.69999999999993,15.86,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2016,Protein supply quantity (g/capita/day),Kenya,1.41,2.8,30.200000000000003,5.8999999999999995,1.1500000000000001,14.68,0.82,46.91,0.01,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2017,Fat supply quantity (g/capita/day),Kenya,0.19,2.54,9.54,5.91,0.25,15.32,0.62,29.1,0.0,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2017,Food supply (kcal/capita/day),Kenya,26.0,80.0,1127.0,80.0,7.0,276.0,8.0,1874.0,156.0,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2017,Food supply quantity (kg/capita/yr),Kenya,39.94,47.349999999999994,139.85000000000002,15.940000000000001,3.9899999999999993,161.8,2.66,354.7600000000001,16.630000000000003,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2017,Protein supply quantity (g/capita/day),Kenya,1.26,2.57,29.74,6.319999999999999,1.1,13.18,0.76,45.49999999999998,0.0,Kenya,6.0,29.4,0.0675478254371544,0.00116200866836048,0.0430933343296966,0.0232924824390973,53528000.0
Y2014,Fat supply quantity (g/capita/day),Kiribati,0.28,10.94,4.34,11.87,6.32,0.58,0.94,83.16,0.0,Kiribati,45.6,2.7,,,,,125000.0
Y2014,Food supply (kcal/capita/day),Kiribati,32.0,237.0,1021.0,154.0,159.0,30.0,14.0,2724.0,508.0,Kiribati,45.6,2.7,,,,,125000.0
Y2014,Food supply quantity (kg/capita/yr),Kiribati,50.75,93.75,103.28,27.33,75.32,4.72,3.54,526.1899999999998,53.81999999999999,Kiribati,45.6,2.7,,,,,125000.0
Y2014,Protein supply quantity (g/capita/day),Kiribati,2.0,9.1,22.349999999999998,10.72,23.880000000000003,2.18,1.04,36.77,0.0,Kiribati,45.6,2.7,,,,,125000.0
Y2015,Fat supply quantity (g/capita/day),Kiribati,0.28,11.69,4.87,11.999999999999998,6.29,0.64,0.94,83.67,0.0,Kiribati,45.6,2.7,,,,,125000.0
Y2015,Food supply (kcal/capita/day),Kiribati,33.0,246.0,1088.0,153.0,159.0,48.0,14.0,2744.0,466.0,Kiribati,45.6,2.7,,,,,125000.0
Y2015,Food supply quantity (kg/capita/yr),Kiribati,50.79,95.82,110.48,27.68,76.13000000000001,5.64,3.46,526.9500000000002,50.62,Kiribati,45.6,2.7,,,,,125000.0
Y2015,Protein supply quantity (g/capita/day),Kiribati,1.99,9.780000000000001,24.369999999999997,10.29,23.990000000000002,3.78,1.02,38.55,0.0,Kiribati,45.6,2.7,,,,,125000.0
Y2016,Fat supply quantity (g/capita/day),Kiribati,0.28,12.919999999999998,4.300000000000001,13.190000000000001,6.31,0.96,0.96,80.47000000000001,0.0,Kiribati,45.6,2.7,,,,,125000.0
Y2016,Food supply (kcal/capita/day),Kiribati,32.0,266.0,1040.0,170.0,160.0,54.0,14.0,2695.0,494.0,Kiribati,45.6,2.7,,,,,125000.0
Y2016,Food supply quantity (kg/capita/yr),Kiribati,51.09,100.66000000000001,105.83999999999999,31.119999999999997,76.91000000000001,6.5,3.6,521.3899999999999,53.49,Kiribati,45.6,2.7,,,,,125000.0
Y2016,Protein supply quantity (g/capita/day),Kiribati,1.99,11.62,23.03,12.090000000000002,23.97,4.12,1.06,36.96,0.0,Kiribati,45.6,2.7,,,,,125000.0
Y2017,Fat supply quantity (g/capita/day),Kiribati,0.28,12.72,5.7299999999999995,12.860000000000001,6.39,1.06,1.1,81.89000000000001,0.0,Kiribati,45.6,2.7,,,,,125000.0
Y2017,Food supply (kcal/capita/day),Kiribati,33.0,265.0,1057.0,164.0,159.0,34.0,16.0,2699.0,485.0,Kiribati,45.6,2.7,,,,,125000.0
Y2017,Food supply quantity (kg/capita/yr),Kiribati,51.99,101.58999999999999,106.37,29.95,76.7,3.92,4.12,522.6299999999999,51.949999999999996,Kiribati,45.6,2.7,,,,,125000.0
Y2017,Protein supply quantity (g/capita/day),Kiribati,2.03,11.120000000000001,23.180000000000003,11.32,23.8,1.78,1.2,37.22000000000001,0.0,Kiribati,45.6,2.7,,,,,125000.0
Y2014,Fat supply quantity (g/capita/day),Kuwait,1.1300000000000001,19.189999999999998,9.34,21.29,0.87,23.9,8.24,61.800000000000026,0.0,Kuwait,37.0,2.8,2.02012364101471,0.0119377531443189,1.8118738008953301,0.19631208697505897,4691000.0
Y2014,Food supply (kcal/capita/day),Kuwait,128.0,492.0,1390.0,300.0,23.0,428.0,116.0,2841.0,399.0,Kuwait,37.0,2.8,2.02012364101471,0.0119377531443189,1.8118738008953301,0.19631208697505897,4691000.0
Y2014,Food supply quantity (kg/capita/yr),Kuwait,189.26999999999998,164.88,153.99,69.11000000000001,12.62,59.6,30.54,596.3100000000001,38.339999999999996,Kuwait,37.0,2.8,2.02012364101471,0.0119377531443189,1.8118738008953301,0.19631208697505897,4691000.0
Y2014,Protein supply quantity (g/capita/day),Kuwait,5.79,23.639999999999997,34.67,25.369999999999997,3.54,26.98,8.98,53.99999999999999,0.0,Kuwait,37.0,2.8,2.02012364101471,0.0119377531443189,1.8118738008953301,0.19631208697505897,4691000.0
